# E[eV] PECS[a.u.] CCC[a.u.]
70.188 2.9e-07 0.000366961
74.851 2.88e-07 0.000137767
81.235 1.179e-06 1.6963e-05
84.876 1.773e-06 2.625e-06
89.582 3.347e-06 6.087e-06
89.982 3.558e-06 6.381e-06
94.835 6.979e-06 9.727e-06
94.966 7.069e-06 9.806e-06
98.36 9.061e-06 1.1341e-05
99.364 9.743e-06 1.174e-05
105.34 1.4119e-05 1.4217e-05
109.255 1.7479e-05 1.6053e-05
110.371 1.8434e-05 1.6754e-05
114.472 2.1738e-05 2.0814e-05
120.111 2.6021e-05 2.5209e-05
125.483 2.9591e-05 2.9155e-05
129.953 3.2184e-05 3.2567e-05
138.752 3.7201e-05 4.1791e-05
139.99 3.7922e-05 4.3062e-05
149.449 4.311e-05 5.1611e-05
149.924 4.3278e-05 5.2058e-05
158.864 4.5568e-05 6.2324e-05
163.413 4.6698e-05 6.7545e-05
174.764 4.9822e-05 7.8753e-05
178.213 4.9982e-05 8.1369e-05
187.196 4.9522e-05 8.3664e-05
198.29 4.9767e-05 8.0325e-05
199.923 4.9818e-05 7.9778e-05
224.4 4.9667e-05 7.2322e-05
248.82 4.7449e-05 6.6182e-05
248.96 4.7432e-05 6.6152e-05
274.61 4.4156e-05 6.1313e-05
297.48 4.1129e-05 5.8142e-05
299.37 4.088e-05 5.7903e-05
324.47 3.7605e-05 5.4972e-05
346.88 3.4705e-05 5.293e-05
350.13 3.4329e-05 5.2694e-05
373.42 3.1946e-05 5.1107e-05
398.62 2.9191e-05 4.8314e-05
399.43 2.9118e-05 4.8184e-05
425.37 2.7181e-05 4.2797e-05
448.21 2.511e-05 3.7895e-05
448.38 2.5097e-05 3.7864e-05
473.32 2.3459e-05 3.4618e-05
498.04 2.1235e-05 3.2833e-05
499.67 2.1076e-05 3.2731e-05
