# E[eV] PECS[a.u.] CCC[a.u.]
59.967 5.08e-06 0.05873451
65.078 5.07e-06 0.03449327
70.008 9.86e-06 0.01946031
75.089 2.662e-05 0.00987772
79.835 5.536e-05 0.00464325
85.126 9.369e-05 0.00159764
90.24 0.00012962 0.00039925
94.826 0.00017035 0.00017303
99.93 0.00020481 0.00023983
100.522 0.00020868 0.0002476
105.324 0.00024462 0.00030681
108.74 0.00027356 0.00033806
109.392 0.00027816 0.00034045
114.269 0.0003054 0.00036441
115.626 0.00031169 0.00038073
120.799 0.00033325 0.00044825
125.469 0.00035242 0.00050857
129.883 0.00036419 0.00056087
136.154 0.00038116 0.00061027
139.298 0.00039115 0.00061837
149.409 0.00041459 0.00063513
149.484 0.00041469 0.00063503
159.804 0.00042291 0.00060157
174.511 0.00042665 0.00059755
179.614 0.00042693 0.00059677
199.544 0.0004195 0.00057039
199.613 0.00041944 0.00057032
225.03 0.00038828 0.00054991
249.27 0.00035951 0.00053709
249.9 0.0003588 0.00053682
274.51 0.00033074 0.00052827
298.65 0.00030215 0.00052242
298.8 0.00030198 0.00052238
324.29 0.00027321 0.00051502
349.7 0.00024701 0.00050323
349.9 0.00024685 0.0005031
374.23 0.00023246 0.00048414
400.04 0.00021108 0.00045049
400.26 0.00021089 0.00045013
424.36 0.00019171 0.00040384
447.09 0.00017916 0.00036182
451.22 0.00017732 0.00035582
474.21 0.00016773 0.0003316
496.73 0.00015348 0.00031628
496.91 0.00015335 0.00031617
